8인실로 예약 가능한가요?	8인실은 예약 가능해요
비닐봉지 없어요?	비닐봉지 드릴게요
고등학생한테 선물을 좀 하려고 하는데요?	스킨케어, 지금 이 라인이 학생들 많이 쓰는 거예요
빵이랑 우유, 계산해주세요	멜론 빵 1개, 우유 1개, 결제해드릴게요
무슨 색이 제일 어울릴까요?	요즘은 갈색 많이 하세요
짜장 이런 건 들어가는가요?	안 들어갑니다
사이즈 삼십팔이 입을만한 옷은 뭐가 있어요?	마땅한 게 없네요
이건 얼마입니까?	할인해서 삼만 원이에요
요금 충전은 어디서 하나요?	입구 앞쪽에 기계에 하시면 됩니다
바게트 저거 하나 잘라 주세요	바게트 하나 잘라 드릴게요
물을 얼마나 태우는데요?	맥주 컵을 기준으로 반 컵 정도 하시면 됩니다
몇 시쯤에 오시는데요?	점심 아니면 저녁
카카오페이로 결제 가능한가요?	가능합니다.
삼겹살이랑 차돌박이 1근씩, 결제는 뭐로 하시겠어요?	결제는 카드로 할게요
시간당 얼마예요?	시간당은 아니고 10분당 2000원입니다
마스크팩 종류	마스크팩은 이쪽에 있어요. 이 제품은 원래 3만원인데 행사해서 50프로 할인된 가격이에요
죄송한데 얼마나 기다리면 되나요?	이제 다 됐어요
쥐포 그거는 얼마너치씩 팔아요?	쥐포는 3천 원이에요
특실과 일반실 어디로 드릴까요?	거울 사면으로 도배된 방 4만 원이에요
나중에 오면 리필 할 수 있나요?	드시던 잔 들고 오시면 저희가 천오백 원에 리필 해드립니다
메뉴판에 없는 것도 주문 가능할까요?	고객님 메뉴판에 있는 것만 주문 가능합니다
음식이 이게 나오는 시간은 몇 시 쯤?	오후 5시쯤에 나와요
삼월 이십오일 예약 가능한가요?	성인 두 분 일반 객실은 없고 스위트 객실로 디럭스 더블로 하셔야 해요
밀감은 이제 철이 끝날때죠?	밀감은 지금 끝물이에요
코트는 얼마나 해요?	98000원입니다
몇 분이서 드실 겁니까?	한 세명
가죽옷 수선돼요?	가족옷 수선 가능합니다
시그니처 초콜렛 같은 건 없어요?	시그니처 초콜렛도 있습니다
네, 언제부터 언제까지 묵으세요?	4월 셋째 주 금토일로 2박 3일로 부탁드립니다
그럼 언제 식사 가능한가요?	저희 5시부터 다시 영업합니다
나이가 어떻게 되세요?	마흔 일곱이요
어디서 오세요?	대구요
계란말이 어디로 드릴까요?	중간에 놔두세요
겨울용 따뜻한 패딩을 찾고 있는데요	구스다운 덕 다운 그리고 그냥 패딩이 있어요
기침은 없으시고요	기침은 없어요
아이스아메리카노 2잔도 같이 주세요	벨 울리면 와서 수령하시면 됩니다
몇 개쯤되면돼요?	몇 만원 돼야 돼요
가격이 어떻게 하는데요?	가격표에서 20%까지 할인 해드려요
100만원 미만으로 보여주세요	그럼 이쪽 디자인 한번 보여드릴꼐요
이거 두 개 살게요	95000원입니다
네, 작은 사이즈로 한 잔 드릴까요?	그렇게 해주세요
방에 세면도구가 구비돼 있나요	세면도구는 구비되어 있어요
한우랑 수입산, 차이가 크게 나요?	차이가 나는데 잘 모르시는 분들이 많아요
카카오페이 결제도 되는 거예요?	됩니다
1박에 얼마입니까?	1박에 5만 원이에요
쿠폰 도장 찍어주나요?	1500원 이상이면 적립해 드립니다
영업은 몇 시부터 몇 시까지 하시나요?	오전 7시부터 오후 3시까지 영업해요
네 명 갈 건데, 어른이 두 명 더 가면 추가료 더 받나요?	오인 기본에 추가 인당 만 원씩이니까 두 분이 더 오시면 만 원 추가돼요
숙박은 보통 열두 시 전에 나가는데, 몇 시쯤 오시나요?	한 세 시쯤에 도착할 거 같은데요
팥 앙금 많이 달아요?	팥앙금은 많이 달아요
원피스 종류도 있어요?	지금 원피스는 없어요
순살 말고 콤보세트로 30분 안에 배달받을 수 있을까요?	그럼 20분 정도 걸립니다
포장으로 바꿔도 될까요	금방 해드릴게요
네 그걸로 주세요	4000원입니다
이거는 얼마에요?	삼만 천 원 입니다
카드로 결제해주세요	준비되면 진동벨로 알려드릴게요
더치커피 파나요?	더치커피 있습니다
후드 돋바인가?	이런 거 많이 나갑니다
그럼 이거 2개 주세요	2개해서 3000원 나왔습니다
몇 분이신가요?	3명입니다
건성인데 어떤 거 써야 하나요	건성이시면 수분감 많은 이 상품이 괜찮으세요
세명인데 얼마나 기다려야 할까요?	바로 자리 안내해 드릴게요
아메리카노 차가운 걸로 드릴까요?	따뜻한 걸로 주세요
어디 거 찾으세요?	그런 브랜드는 없어요
프론트 닫을 시간 보다 늦게오면 캐리어는 어떻게 찾아가나요?	벨을 울리면 야간 직원이 나올 거예요
이 옷은 얼마예요?	그 옷은 사만 오천 원이에요
혹시 회원가입하면 요금이 더 싼가요?	회원 가입하시면 1시간 1000원에 이용 가능합니다
그러면 저녁에는 몇 시까지 하나요?	저녁에는 내일 좀 일찍 마쳐야 돼서 한 열시까지 밖에 안 합니다
머리 많이 하얗죠?	이번에는 흰머리가 많이 생겼네요
특급 비용도 추가되잖아요?	특급으로 요청하시면 300원이 추가됩니다
그럼 약과 100개 주문할게요	3일 정도 걸립니다
네 계산은 카카오페이로 가능한가요?	카카오페이로는 불가능합니다
대실에서 1박으로 바꾸려면 어떻게 하면 되지요?	금액을 추가하시면 대실에서 1박으로 바꾸실 수 있어요
적립되는 카드 뭐 이런 건 없죠?	여기가 개인 사업자라서요
이 가방 어떻게 해요?	이거는 5만 9200원이요
네 2만 원 충전해주세요	알겠습니다
핸드폰 번호 알려주시겠어요?	010 0000 0000입니다
엄마들 세타 이런 거 검정으로 있어요?	그런 거는 지금 없고 이런 것만 있어요
케이크 결제할 때 만원 당 적립은 어떻게 돼요?	케이크 결제할 때 적립은 오천원 이상부터 현금이든 카드든 상관없이 적립돼요. 나중에 현금처럼 사용하실 수 있어요.
고객님 번호를 알려주시면 문자 남겨드리겠습니다	OOO-OOOO-OOOO입니다
장사하신지가 오래되셨어요?	한 7년 넘었어요
이거는 얼마예요?	10만 9천 원요
샷 추가 가능한가요?	한 샷 당 500원 추가됩니다
알겠습니다 결제는 어떻게 하시겠어요?	이 카드로 할게요
음료도 포함되어있는건가요?	포함되었습니다
가격이 올랐나요?	추석 때부터 드라이 가격을 인상했습니다
채소코너는 어디 있나요?	채소는 건너편에 있어요
펜션에 다른 시설은 있나요?	아기들 이용하는 트램펄린 있고 노래방도 있는데 이용료가 따로 있어요
네 손님 혹시 예약하고 오셨나요?	예약은 안하고 왔습니다
당구장 영업 시간이 몇 시까지에요?	여기 24시간이에요
케이크 말씀하시는 거 맞으세요?	네모난 케이크요
적립카드는 없죠? 할인되는 카드	적립은 안돼요
음료 중에 뭐가 제일 맛있어요?	아메리카노가 제일 많이 나가니까 제일 맛있겠죠
일반실 그냥 쉬는 데죠?	공부 하는 데예요
언제 바르는 게 적당한가요?	자기 전에 바르시는게 좋습니다.
몇 일 정도 걸리나요?	일주일 뒤에 찾으러 오시면 됩니다.
사이즈는요?	이백삼십오요
그런데 사이즈가 있나요?	이백사십오는 없어요 베이지는 있는데 검정은 없어요
여성 청바지도 판매하나요?	판매합니다
상품은 계절별로 들어오나요?	계절이 바뀔때 신상이 들어와요
천으로 된 거는 해도 되죠?	상관없어요
아메리카노도 여섯 잔 부탁드립니다	바로 준비해드리겠습니다
무지개떡은 얼마예요	무지개떡 한 되 2만 원인데 기본으로 두 되 하셔야 돼요.
일행이 많은데 할증은 몇 명부터 붙어요?	5인 이상이면 50퍼센트 할증 적용됩니다
와이파이 비번은 뭐예요?	와이파이 비밀번호는 카운터와 모니터에 적혀 있습니다
여기 후불로 이용해도 되나요?	후불은 안되고 모두 다 선불로만 이용 가능하세요
여기서 돈까스 고기 눌러도 주나요?	기계로 눌러 드려요
가격대는 얼마예요?	3만 3천 원이요
다른 곳은 얼마냐고 하면 20만원이라고 계속 그러는 거에요	미용실마다 가격은 다를 수 있어요
어떤 게 잘 나가요?	라떼는 곡물라떼와 고구마 라떼가 잘나가고 주스는 블루베리나 아로니아가 잘 나갑니다
이 제품 가격은 얼마인가요?	이 제품은 8000원이에요
펜션에서는 대게 취급을 안 하세요?	저희 지금 대게는 판매 안 해요
이런 가방은 무슨 용도인고?	미니 백이에요
블러셔 어디에 있나요?	앞쪽에 있어요
화장실은 어디 있어요?	안쪽에 있어요
원래 일회용기 주지 않나요?	저희는 가까우면 일회용기 안 드려요
예약하시는 건가요	내일 점심이요
혹시 샤인 머스캣이 있나요?	샤인 머스켓은 저희가 판매하고 있지 않아요.
여기는 리필정책이 있네요?	리필해드립니다
혹시 피부 진정을 위해 쓸 만한 앰풀이 있나요?	이게 저희 베스트셀러 중에 하나예요
돼지 앞다릿살, 얼마나 필요하세요?	3인 가족이 먹으려고 하는데요
하루 묵는데 비용이 얼마인가요?	1박에 만 오천 원이에요
보푸라기 제거도 해주시네요?	완전하게 제거할 수는 없지만 서비스로 해드립니다
저녁에는 몇 시까지 하시는가요?	저녁에는 8시 반까지 주문받고 9시까지 해요
여기 혹시 비상구는 어느 쪽에 있을까요?	비상구는 이쪽이랑 저쪽 흡연실 쪽에 있습니다
스프라이트인가요?	그거는 매장에 나가는 500ml밖에 없어요
커피숍인데 메뉴판도 없어요?	메뉴판이 별도로 없는 건 커피 종류는 아메리카노 한 종류와 티 종류만 있어서에요
사장님 이 배는 어떻게 팔아요?	이 배는 9개씩이고, 이 배는 11개씩, 이 배는 12개씩이에요
국물떡볶이라서 숟가락으로 국물이랑 떡이랑 같이 드세요	알겠습니다
바비큐는 어디서 하면 되나요?	저쪽 마당에서 가능해요
몇 시부터 몇 시까지 하세요?	열 시부터 여덟 시까지 운영합니다
혹시 카탈로그 보여주실 수 있나요?	세 번째 스타일이 마음이 드네요
어떤 종류 있나요?	콜라, 사이다, 환타, 레몬에이드 있습니다.
2박 3일에 얼마 들죠?	2박 3일 가격은 13만 원이에요
방은 바다쪽 뷰로 드릴까요?	바다쪽으로 주세요
카카오페이 부분은 잘 모르시나요?	죄송하지만 카카오페이 부분은 제가 잘 몰라요
다른 건 필요하신 거 없으세요?	백화점 카드 드릴테니 5% 할인해 주세요
어깨 리폼도 다 돼요?	어깨 리폼 가능합니다
끓여놓은 곰국은 얼마나 두고 먹을 수 있어요?	냉동실에 넣어 두실거면 일년 뒤에 드셔도 돼요
이 떡케이크 모두 얼마예요?	4만원, 5만원이에요
열람실 조용하기는 하죠?	조용해요
이거 소재가 뭐예요?	면이예요
현금영수증되나요?	배달원분께 알려주시면 가능하십니다
근데 초등학생 애들 잘 먹나요?	먹을 수 있습니다
튀김 1인분 추가해주세요	알겠습니다
연락 따로 주시나요?	수선 마치면 고객님 휴대폰으로 문자 드릴게요
그럼 일단 일반석 앉을 테니 말씀해 주세요	오래 걸리지 않을 거예요
주로 많이 뭐뭐 먹어요?	고기 많이 드셔요
혹시 음식 주문도 가능한가요?	음식 주문도 가능합니다
색깔이 붉은데 매워요?	매운맛이에요
주차장도 있나요?	건물 타워주차장이 있어요
예약확인 하려면 어떤 내용이 필요한가요?	성함을 말씀해주시면 돼요
이렇게 3개만 살게요	사과 3개에 8천백 원이에요.
주말 가격은 어떻게 되나요?	주말은 인당 2만 원 지불 시 80분 이용 가능하십니다
5시간 충전해주세요	충전되셨어요
어떤 스타일로 찾고 계시나요?	뷔스티에 찾고 있어요
드시고 가시나요?	진동벨로 알려드릴 테니 조금만 기다려 주세요
네  그럼 그걸로 주시고 시간은 얼마나 걸리죠?	한 20분 정도 걸립니다
가격이 얼마죠?	세트 하나에 1000원이에요
더블룸이나 트윈룸 중에서 어떤 방을 원하시나요?	더블룸으로 해주세요
샌드위치, 몇 개 필요하세요?	하나만 있으면 되거든요
A감기약 얼만데요?	A감기약은 삼천원입니다
좀 좋은 제수용 사과 없어요?	지금 나와 있는 사과가 제일 좋아요
로얄밀크티는 뭐에요	로얄밀크티는 홍차에 티백을 넣은 것입니다
문은 몇 시부터 몇 시까지 열어 놔요?	아침 아홉 시부터 저녁 아홉 시 반이요
생크림이 올라가는 건 어떤 건가요?	허니 브레드입니다
그러면 환으로 주세요	하루에 세 번 식후에 드세요
치즈 무스 케이크 있어요?	고구마치즈랑 오리지널 있어요
이 신발 젊은 사람도 많이 사가요?	아니요, 젊은 사람들은 별로 사가지 않아요
그러면은요 소고기 초밥 소고기는 생거는 아니죠?	익힌 거예요
씨컬은 가격 차이가 좀 많이 나는데 예전에 세팅 파마나 뭐 이런 거하셨어요?	열 파마했어요
전화번호 알려주시겠어요?	01012345678입니다
이것은 어떠세요?	마음에 드네요
이 근처에 파인애플 팔 만한 다른 가게는 없어요?	여기가 제일 크고 종류도 많아서, 여기 없으면 다른 가게에도 없어요.
